date_time,pressure
9/20/2016 13:00,150.5
9/20/2016 16:00,154.5
9/20/2016 20:00,152.1999969
9/20/2016 23:00,150.5
9/21/2016 2:00,150.5
9/21/2016 6:00,150.5
9/21/2016 7:00,168.8000031
9/21/2016 10:00,149.8999939
9/21/2016 14:00,152.1999969
9/21/2016 17:00,154.5
9/21/2016 20:00,151.0
9/21/2016 23:00,150.5
9/22/2016 3:00,149.3000031
9/22/2016 7:00,149.3000031
9/22/2016 8:00,172.8000031
9/22/2016 9:00,154.5
9/22/2016 12:00,150.5
9/22/2016 14:00,171.6000061
9/22/2016 17:00,154.5
9/22/2016 18:00,172.1999969
9/22/2016 22:00,152.1999969
9/22/2016 23:00,169.8999939
9/23/2016 2:00,151.0
9/23/2016 6:00,150.5
9/23/2016 7:00,169.8999939
9/23/2016 10:00,148.6999969
9/23/2016 12:00,168.8000031
9/23/2016 15:00,153.8999939
9/23/2016 18:00,152.8000031
9/23/2016 20:00,169.8999939
9/23/2016 23:00,151.0
9/24/2016 2:00,151.6000061
9/24/2016 6:00,150.5
9/24/2016 9:00,151.0
9/24/2016 12:00,153.3000031
9/24/2016 16:00,155.0
9/24/2016 19:00,152.8000031
9/24/2016 22:00,149.8999939
9/25/2016 1:00,150.5
9/25/2016 5:00,150.5
9/25/2016 8:00,149.8999939
9/25/2016 11:00,148.6999969
9/25/2016 15:00,149.3000031
9/25/2016 19:00,149.8999939
9/25/2016 20:00,173.8999939
9/25/2016 21:00,155.6000061
9/26/2016 0:00,149.8999939
9/26/2016 4:00,148.6999969
9/26/2016 5:00,167.6000061
9/26/2016 8:00,148.6999969
9/26/2016 10:00,165.8999939
9/26/2016 13:00,149.8999939
9/26/2016 16:00,148.6999969
9/26/2016 20:00,148.6999969
9/26/2016 21:00,168.8000031
9/26/2016 23:00,155.0
9/27/2016 2:00,148.6999969
9/27/2016 3:00,168.8000031
9/27/2016 6:00,149.3000031
9/27/2016 8:00,167.1000061
9/27/2016 11:00,145.8999939
9/27/2016 13:00,153.3000031
9/27/2016 16:00,152.8000031
9/27/2016 17:00,168.1999969
9/27/2016 20:00,149.8999939
9/28/2016 8:00,152.1999969
9/28/2016 11:00,147.0
9/28/2016 15:00,152.1999969
9/28/2016 16:00,175.1000061
9/28/2016 19:00,150.5
9/28/2016 23:00,148.6999969
9/29/2016 2:00,149.3000031
9/29/2016 6:00,148.6999969
9/29/2016 9:00,153.8999939
9/29/2016 11:00,151.0
9/29/2016 12:00,154.5
9/29/2016 13:00,155.6000061
9/29/2016 16:00,152.1999969
9/29/2016 20:00,149.8999939
9/29/2016 23:00,148.6999969
9/30/2016 2:00,148.1999969
9/30/2016 5:00,148.1999969
9/30/2016 7:00,171.6000061
9/30/2016 8:00,154.5
9/30/2016 11:00,148.6999969
9/30/2016 13:00,165.3000031
9/30/2016 16:00,151.6000061
9/30/2016 17:00,172.1999969
9/30/2016 20:00,149.3000031
10/1/2016 0:00,148.1999969
10/1/2016 3:00,147.6000061
10/1/2016 7:00,147.6000061
10/1/2016 8:00,165.8999939
10/1/2016 12:00,143.6000061
10/1/2016 15:00,149.8999939
10/1/2016 17:00,172.1999969
10/1/2016 20:00,148.6999969
10/1/2016 21:00,168.8000031
10/2/2016 0:00,148.6999969
10/2/2016 4:00,147.6000061
10/2/2016 6:00,166.5
10/2/2016 9:00,149.8999939
10/2/2016 11:00,159.6000061
10/2/2016 14:00,145.3000031
10/2/2016 15:00,169.3999939
